,Tournament,Surface,Round,Winner,Loser,WRank,LRank,Wsets,Lsets,counts
332,US Open,Hard,4th Round,Djokovic N.,Bautista R.,1,23,3.0,1.0,27
333,US Open,Hard,Quarterfinals,Djokovic N.,Lopez F.,1,19,3.0,1.0,27
334,US Open,Hard,Semifinals,Djokovic N.,Cilic M.,1,9,3.0,0.0,27
335,US Open,Hard,The Final,Djokovic N.,Federer R.,1,2,3.0,1.0,27
336,Australian Open,Hard,1st Round,Ferrer D.,Bellucci T.,10,65,3.0,1.0,9
337,Australian Open,Hard,2nd Round,Ferrer D.,Stakhovsky S.,10,71,3.0,1.0,9
338,Australian Open,Hard,3rd Round,Ferrer D.,Simon G.,10,20,3.0,1.0,9
339,French Open,Clay,1st Round,Ferrer D.,Lacko L.,8,94,3.0,0.0,9
340,French Open,Clay,2nd Round,Ferrer D.,Gimeno-Traver D.,8,66,3.0,0.0,9
341,French Open,Clay,3rd Round,Ferrer D.,Bolelli S.,8,60,3.0,2.0,9
342,French Open,Clay,4th Round,Ferrer D.,Cilic M.,8,10,3.0,0.0,9
343,US Open,Hard,1st Round,Ferrer D.,Albot R.,7,86,3.0,1.0,9
344,US Open,Hard,2nd Round,Ferrer D.,Krajinovic F.,7,102,3.0,0.0,9
345,Australian Open,Hard,1st Round,Bachinger M.,Cuevas P.,142,29,3.0,0.0,1
346,Australian Open,Hard,1st Round,Soeda G.,Ymer E.,92,212,3.0,2.0,1
347,Australian Open,Hard,1st Round,Copil M.,Andujar P.,194,43,3.0,0.0,1
348,Australian Open,Hard,1st Round,Nieminen J.,Golubev A.,72,73,3.0,0.0,3
349,Australian Open,Hard,2nd Round,Nieminen J.,Bachinger M.,72,142,3.0,0.0,3
350,Wimbledon,Grass,1st Round,Nieminen J.,Hewitt L.,92,118,3.0,2.0,3
351,Australian Open,Hard,1st Round,Stakhovsky S.,Lajovic D.,71,68,3.0,2.0,4
352,French Open,Clay,1st Round,Stakhovsky S.,Berankis R.,54,93,3.0,0.0,4
353,US Open,Hard,1st Round,Stakhovsky S.,Millman J.,60,72,3.0,1.0,4
354,US Open,Hard,2nd Round,Stakhovsky S.,Marchenko I.,60,120,3.0,1.0,4
355,Australian Open,Hard,1st Round,Janowicz J.,Moriya H.,44,146,3.0,1.0,3
356,Australian Open,Hard,2nd Round,Janowicz J.,Monfils G.,44,19,3.0,2.0,3
357,French Open,Clay,1st Round,Janowicz J.,Hamou M.,50,225,3.0,1.0,3
358,Australian Open,Hard,1st Round,Kuznetsov An.,Ramos-Vinolas A.,88,61,3.0,1.0,3
359,French Open,Clay,1st Round,Kuznetsov An.,Jaziri M.,120,85,3.0,0.0,3
360,French Open,Clay,2nd Round,Kuznetsov An.,Melzer J.,120,110,3.0,1.0,3
361,Australian Open,Hard,1st Round,Becker B.,Benneteau J.,41,25,3.0,1.0,4
362,Australian Open,Hard,2nd Round,Becker B.,Hewitt L.,41,87,3.0,2.0,4
363,French Open,Clay,1st Round,Becker B.,Bemelmans R.,48,95,3.0,2.0,4
364,French Open,Clay,2nd Round,Becker B.,Verdasco F.,48,34,3.0,2.0,4
365,Australian Open,Hard,1st Round,Lorenzi P.,Dolgopolov O.,64,23,3.0,0.0,1
366,Australian Open,Hard,1st Round,Hewitt L.,Zhang Z.,87,187,3.0,1.0,2
367,US Open,Hard,1st Round,Hewitt L.,Nedovyesov A.,355,100,2.0,0.0,2
368,Australian Open,Hard,1st Round,Pospisil V.,Querrey S.,60,35,3.0,2.0,6
369,Australian Open,Hard,2nd Round,Pospisil V.,Lorenzi P.,60,64,3.0,1.0,6
370,Wimbledon,Grass,1st Round,Pospisil V.,Millot V.,56,213,3.0,2.0,6
371,Wimbledon,Grass,2nd Round,Pospisil V.,Fognini F.,56,28,3.0,1.0,6
372,Wimbledon,Grass,3rd Round,Pospisil V.,Ward J.,56,111,3.0,2.0,6
373,Wimbledon,Grass,4th Round,Pospisil V.,Troicki V.,56,24,3.0,2.0,6
374,Australian Open,Hard,1st Round,Monfils G.,Pouille L.,19,117,3.0,2.0,6
375,French Open,Clay,1st Round,Monfils G.,Roger-Vasselin E.,14,123,3.0,1.0,6
376,French Open,Clay,2nd Round,Monfils G.,Schwartzman D.,14,62,3.0,2.0,6
377,French Open,Clay,3rd Round,Monfils G.,Cuevas P.,14,23,3.0,2.0,6
378,Wimbledon,Grass,1st Round,Monfils G.,Carreno-Busta P.,18,67,3.0,0.0,6
379,Wimbledon,Grass,2nd Round,Monfils G.,Mannarino A.,18,34,3.0,0.0,6
380,French Open,Clay,1st Round,Dzumhur D.,Youzhny M.,88,68,2.0,0.0,2
381,French Open,Clay,2nd Round,Dzumhur D.,Baghdatis M.,88,59,3.0,1.0,2
382,French Open,Clay,1st Round,Andujar P.,Ramos-Vinolas A.,42,63,3.0,0.0,4
383,French Open,Clay,2nd Round,Andujar P.,Kohlschreiber P.,42,28,3.0,2.0,4
384,Wimbledon,Grass,1st Round,Andujar P.,Garcia-Lopez G.,37,32,3.0,2.0,4
385,Wimbledon,Grass,2nd Round,Andujar P.,Rosol L.,37,41,3.0,2.0,4
386,French Open,Clay,1st Round,Mahut N.,Coppejans K.,116,107,3.0,0.0,4
387,French Open,Clay,2nd Round,Mahut N.,Gulbis E.,116,29,3.0,1.0,4
388,Wimbledon,Grass,1st Round,Mahut N.,Krajinovic F.,66,122,3.0,1.0,4
389,US Open,Hard,1st Round,Mahut N.,Querrey S.,64,38,3.0,0.0,4
390,French Open,Clay,1st Round,Gulbis E.,Sijsling I.,29,166,3.0,0.0,1
391,French Open,Clay,1st Round,Lajovic D.,Gonzalez M.,67,114,3.0,0.0,1
392,French Open,Clay,1st Round,Tsonga J.W.,Lindell C.,15,214,3.0,0.0,11
393,French Open,Clay,2nd Round,Tsonga J.W.,Sela D.,15,91,3.0,0.0,11
394,French Open,Clay,3rd Round,Tsonga J.W.,Andujar P.,15,42,3.0,0.0,11
395,French Open,Clay,4th Round,Tsonga J.W.,Berdych T.,15,4,3.0,1.0,11
396,French Open,Clay,Quarterfinals,Tsonga J.W.,Nishikori K.,15,5,3.0,2.0,11
397,Wimbledon,Grass,1st Round,Tsonga J.W.,Muller G.,12,44,3.0,2.0,11
398,Wimbledon,Grass,2nd Round,Tsonga J.W.,Ramos-Vinolas A.,12,65,3.0,0.0,11
399,US Open,Hard,1st Round,Tsonga J.W.,Nieminen J.,18,105,3.0,0.0,11
400,US Open,Hard,2nd Round,Tsonga J.W.,Granollers M.,18,77,3.0,0.0,11
401,US Open,Hard,3rd Round,Tsonga J.W.,Stakhovsky S.,18,60,3.0,0.0,11
402,US Open,Hard,4th Round,Tsonga J.W.,Paire B.,18,41,3.0,0.0,11
403,French Open,Clay,1st Round,Stepanek R.,Dodig I.,129,119,3.0,1.0,1
404,French Open,Clay,1st Round,Fognini F.,Ito T.,27,106,3.0,0.0,5
405,Wimbledon,Grass,1st Round,Fognini F.,Smyczek T.,28,77,3.0,0.0,5
406,US Open,Hard,1st Round,Fognini F.,Johnson S.,32,47,3.0,1.0,5
407,US Open,Hard,2nd Round,Fognini F.,Cuevas P.,32,40,3.0,0.0,5
408,US Open,Hard,3rd Round,Fognini F.,Nadal R.,32,8,3.0,2.0,5
409,French Open,Clay,1st Round,Monaco J.,Delbonis F.,35,82,3.0,2.0,2
410,Wimbledon,Grass,1st Round,Monaco J.,Mayer F.,35,294,3.0,0.0,2
411,French Open,Clay,1st Round,Cuevas P.,Groth S.,23,72,3.0,1.0,3
412,French Open,Clay,2nd Round,Cuevas P.,Thiem D.,23,31,3.0,1.0,3
413,US Open,Hard,1st Round,Cuevas P.,Sela D.,40,104,3.0,1.0,3
414,French Open,Clay,1st Round,Gabashvili T.,Lopez F.,74,12,3.0,0.0,4
415,French Open,Clay,2nd Round,Gabashvili T.,Monaco J.,74,35,3.0,0.0,4
416,French Open,Clay,3rd Round,Gabashvili T.,Rosol L.,74,43,3.0,0.0,4
417,US Open,Hard,1st Round,Gabashvili T.,Andujar P.,53,49,2.0,2.0,4
418,French Open,Clay,1st Round,Paire B.,Elias G.,71,152,3.0,2.0,6
419,French Open,Clay,2nd Round,Paire B.,Fognini F.,71,27,3.0,0.0,6
420,Wimbledon,Grass,1st Round,Paire B.,Youzhny M.,68,76,3.0,0.0,6
421,US Open,Hard,1st Round,Paire B.,Nishikori K.,41,4,3.0,2.0,6
422,US Open,Hard,2nd Round,Paire B.,Ilhan M.,41,84,3.0,1.0,6
423,US Open,Hard,3rd Round,Paire B.,Robredo T.,41,26,3.0,0.0,6
424,French Open,Clay,1st Round,Thiem D.,Bedene A.,31,75,3.0,1.0,4
425,Wimbledon,Grass,1st Round,Thiem D.,Sela D.,30,85,3.0,1.0,4
426,US Open,Hard,1st Round,Thiem D.,Gimeno-Traver D.,20,76,3.0,0.0,4
427,US Open,Hard,2nd Round,Thiem D.,Istomin D.,20,70,2.0,0.0,4
428,French Open,Clay,1st Round,Robredo T.,Golubev A.,19,135,3.0,1.0,3
429,US Open,Hard,1st Round,Robredo T.,Berrer M.,26,121,3.0,0.0,3
430,US Open,Hard,2nd Round,Robredo T.,Groth S.,26,55,3.0,0.0,3
431,French Open,Clay,1st Round,Bellucci T.,Matosevic M.,40,100,3.0,0.0,3
432,US Open,Hard,1st Round,Bellucci T.,Ward J.,30,135,3.0,0.0,3
433,US Open,Hard,2nd Round,Bellucci T.,Nishioka Y.,30,128,3.0,0.0,3
434,French Open,Clay,1st Round,Coric B.,Querrey S.,46,38,3.0,1.0,3
435,French Open,Clay,2nd Round,Coric B.,Robredo T.,46,19,3.0,2.0,3
436,Wimbledon,Grass,1st Round,Coric B.,Stakhovsky S.,40,49,3.0,2.0,3
437,French Open,Clay,1st Round,Schwartzman D.,Haider-Maurer A.,62,51,3.0,1.0,2
438,US Open,Hard,1st Round,Schwartzman D.,Ymer E.,74,144,3.0,0.0,2
439,French Open,Clay,1st Round,Edmund K.,Robert S.,121,558,3.0,2.0,1
440,French Open,Clay,1st Round,Cilic M.,Haase R.,10,80,3.0,0.0,12
441,French Open,Clay,2nd Round,Cilic M.,Arnaboldi A.,10,187,3.0,0.0,12
442,French Open,Clay,3rd Round,Cilic M.,Mayer L.,10,22,3.0,0.0,12
443,Wimbledon,Grass,1st Round,Cilic M.,Moriya H.,9,174,3.0,0.0,12
444,Wimbledon,Grass,2nd Round,Cilic M.,Berankis R.,9,90,3.0,2.0,12
445,Wimbledon,Grass,3rd Round,Cilic M.,Isner J.,9,17,3.0,2.0,12
446,Wimbledon,Grass,4th Round,Cilic M.,Kudla D.,9,105,3.0,1.0,12
447,US Open,Hard,1st Round,Cilic M.,Pella G.,9,94,3.0,0.0,12
448,US Open,Hard,2nd Round,Cilic M.,Donskoy E.,9,139,3.0,0.0,12
449,US Open,Hard,3rd Round,Cilic M.,Kukushkin M.,9,56,3.0,2.0,12
450,US Open,Hard,4th Round,Cilic M.,Chardy J.,9,27,3.0,1.0,12
451,US Open,Hard,Quarterfinals,Cilic M.,Tsonga J.W.,9,18,3.0,2.0,12
452,French Open,Clay,1st Round,Gimeno-Traver D.,Souza J.,66,78,3.0,0.0,1
453,French Open,Clay,1st Round,Lu Y.H.,Kavcic B.,65,79,3.0,1.0,1
454,French Open,Clay,1st Round,Arnaboldi A.,Duckworth J.,187,83,3.0,2.0,1
455,French Open,Clay,1st Round,Berlocq C.,Marchenko I.,111,127,3.0,2.0,1
456,French Open,Clay,1st Round,Almagro N.,Dolgopolov O.,154,69,3.0,1.0,1
457,French Open,Clay,1st Round,Sock J.,Dimitrov G.,37,11,3.0,0.0,4
458,French Open,Clay,2nd Round,Sock J.,Carreno-Busta P.,37,61,3.0,1.0,4
459,French Open,Clay,3rd Round,Sock J.,Coric B.,37,46,3.0,0.0,4
460,US Open,Hard,1st Round,Sock J.,Estrella Burgos V.,28,50,3.0,0.0,4
461,French Open,Clay,1st Round,Carreno-Busta P.,Estrella Burgos V.,61,49,3.0,0.0,2
462,US Open,Hard,1st Round,Carreno-Busta P.,Janowicz J.,54,61,3.0,1.0,2
463,Wimbledon,Grass,1st Round,Broady L.,Matosevic M.,182,138,3.0,2.0,1
464,Wimbledon,Grass,1st Round,De Schepper K.,Smith J.P.,163,160,3.0,2.0,1
465,Wimbledon,Grass,1st Round,Haas T.,Lajovic D.,861,86,3.0,1.0,1
466,Wimbledon,Grass,1st Round,Ebden M.,Rola B.,148,93,3.0,0.0,1
467,Wimbledon,Grass,1st Round,Estrella Burgos V.,Becker B.,48,51,3.0,1.0,1
468,Wimbledon,Grass,1st Round,Herbert P.H.,Chung H.,151,79,3.0,2.0,1
469,Wimbledon,Grass,1st Round,Kudla D.,Cuevas P.,105,23,3.0,2.0,3
470,Wimbledon,Grass,2nd Round,Kudla D.,Zverev A.,105,74,3.0,1.0,3
471,Wimbledon,Grass,3rd Round,Kudla D.,Giraldo S.,105,60,3.0,2.0,3
472,Wimbledon,Grass,1st Round,Zverev A.,Gabashvili T.,74,53,3.0,2.0,1
473,Wimbledon,Grass,1st Round,Millman J.,Robredo T.,120,19,3.0,0.0,1
474,Wimbledon,Grass,1st Round,Ilhan M.,Janowicz J.,82,47,3.0,1.0,2
475,US Open,Hard,1st Round,Ilhan M.,Stepanek R.,84,285,2.0,1.0,2
476,Wimbledon,Grass,1st Round,Brown D.,Lu Y.H.,102,61,3.0,1.0,2
477,Wimbledon,Grass,2nd Round,Brown D.,Nadal R.,102,10,3.0,1.0,2
478,Wimbledon,Grass,1st Round,Dolgopolov O.,Edmund K.,70,101,3.0,0.0,1
479,Wimbledon,Grass,1st Round,Basilashvili N.,Bagnis F.,153,137,3.0,0.0,2
480,Wimbledon,Grass,2nd Round,Basilashvili N.,Lopez F.,153,16,3.0,2.0,2
481,Wimbledon,Grass,1st Round,Ramos-Vinolas A.,Istomin D.,65,62,2.0,0.0,1
482,Wimbledon,Grass,1st Round,Querrey S.,Sijsling I.,36,170,3.0,0.0,1
483,Wimbledon,Grass,1st Round,Kavcic B.,Sugita Y.,107,149,3.0,0.0,1
484,Wimbledon,Grass,1st Round,Haase R.,Falla A.,78,130,3.0,1.0,2
485,US Open,Hard,1st Round,Haase R.,Brown D.,79,85,3.0,2.0,2
486,Wimbledon,Grass,1st Round,Bedene A.,Stepanek R.,75,203,3.0,2.0,2
487,US Open,Hard,1st Round,Bedene A.,Gulbis E.,57,67,1.0,1.0,2
488,Wimbledon,Grass,1st Round,Ward J.,Vanni L.,111,113,3.0,1.0,2
489,Wimbledon,Grass,2nd Round,Ward J.,Vesely J.,111,45,3.0,1.0,2
490,Wimbledon,Grass,1st Round,Vesely J.,Lorenzi P.,45,89,3.0,0.0,3
491,US Open,Hard,1st Round,Vesely J.,Lorenzi P.,48,83,3.0,0.0,3
492,US Open,Hard,2nd Round,Vesely J.,Karlovic I.,48,21,3.0,2.0,3
493,US Open,Hard,1st Round,Fish M.,Cecchinato M.,581,106,3.0,1.0,1
494,US Open,Hard,1st Round,Kukushkin M.,Lu Y.H.,56,97,2.0,0.0,2
495,US Open,Hard,2nd Round,Kukushkin M.,Dimitrov G.,56,17,3.0,2.0,2
496,US Open,Hard,1st Round,Donskoy E.,Pouille L.,139,65,3.0,1.0,1
497,US Open,Hard,1st Round,Krajinovic F.,Gonzalez A.,102,119,3.0,0.0,1
498,US Open,Hard,1st Round,Marchenko I.,Monfils G.,120,16,1.0,1.0,1
499,US Open,Hard,1st Round,Krajicek A.,Giraldo S.,117,59,3.0,1.0,1
500,US Open,Hard,1st Round,Nishioka Y.,Mathieu P.H.,128,80,3.0,2.0,1
501,US Open,Hard,1st Round,Youzhny M.,Smith J.P.,93,122,3.0,1.0,1
502,US Open,Hard,1st Round,Bemelmans R.,Muller G.,107,44,3.0,1.0,2
503,US Open,Hard,2nd Round,Bemelmans R.,Sock J.,107,28,1.0,2.0,2
504,US Open,Hard,1st Round,Istomin D.,Becker B.,70,62,3.0,1.0,1
505,US Open,Hard,1st Round,Darcis S.,Baghdatis M.,66,51,2.0,1.0,1
506,US Open,Hard,1st Round,Chung H.,Duckworth J.,69,95,3.0,0.0,1
507,US Open,Hard,1st Round,Ram R.,Harrison R.,88,133,3.0,0.0,1
