,Tournament,Series,Surface,Round,Winner,Loser,WRank,LRank,Wsets,Lsets,counts
416,French Open,Grand Slam,Clay,1st Round,Bagnis F.,De Schepper K.,99,143.0,3.0,0.0,1
417,French Open,Grand Slam,Clay,1st Round,Carreno Busta P.,Delbonis F.,43,35.0,3.0,1.0,3
418,US Open,Grand Slam,Hard,1st Round,Carreno Busta P.,Ivashka I.,39,182.0,3.0,0.0,3
419,US Open,Grand Slam,Hard,2nd Round,Carreno Busta P.,Tipsarevic J.,39,250.0,3.0,2.0,3
420,French Open,Grand Slam,Clay,1st Round,Baghdatis M.,Muller G.,39,42.0,3.0,0.0,4
421,US Open,Grand Slam,Hard,1st Round,Baghdatis M.,Bagnis F.,44,90.0,2.0,0.0,4
422,US Open,Grand Slam,Hard,2nd Round,Baghdatis M.,Paire B.,44,34.0,3.0,1.0,4
423,US Open,Grand Slam,Hard,3rd Round,Baghdatis M.,Harrison R.,44,120.0,3.0,1.0,4
424,French Open,Grand Slam,Clay,1st Round,Bautista Agut R.,Tursunov D.,16,480.0,3.0,0.0,7
425,French Open,Grand Slam,Clay,2nd Round,Bautista Agut R.,Mathieu P.H.,16,65.0,3.0,0.0,7
426,French Open,Grand Slam,Clay,3rd Round,Bautista Agut R.,Coric B.,16,47.0,3.0,0.0,7
427,Wimbledon,Grand Slam,Grass,1st Round,Bautista Agut R.,Thompson J.,15,88.0,3.0,0.0,7
428,Wimbledon,Grand Slam,Grass,2nd Round,Bautista Agut R.,Kukushkin M.,15,57.0,,,7
429,US Open,Grand Slam,Hard,1st Round,Bautista Agut R.,Garcia-Lopez G.,17,50.0,3.0,1.0,7
430,US Open,Grand Slam,Hard,2nd Round,Bautista Agut R.,Delbonis F.,17,43.0,3.0,1.0,7
431,French Open,Grand Slam,Clay,1st Round,Vesely J.,Ram R.,60,70.0,3.0,1.0,5
432,Wimbledon,Grand Slam,Grass,1st Round,Vesely J.,Sijsling I.,64,118.0,3.0,0.0,5
433,Wimbledon,Grand Slam,Grass,2nd Round,Vesely J.,Thiem D.,64,8.0,3.0,0.0,5
434,Wimbledon,Grand Slam,Grass,3rd Round,Vesely J.,Sousa J.,64,31.0,3.0,0.0,5
435,US Open,Grand Slam,Hard,1st Round,Vesely J.,Myneni S.,49,143.0,3.0,2.0,5
436,French Open,Grand Slam,Clay,1st Round,Mathieu P.H.,Giraldo S.,65,122.0,3.0,2.0,2
437,US Open,Grand Slam,Hard,1st Round,Mathieu P.H.,Harrison C.,70,694.0,3.0,0.0,2
438,French Open,Grand Slam,Clay,1st Round,Monaco J.,Istomin D.,92,64.0,3.0,1.0,2
439,Wimbledon,Grand Slam,Grass,1st Round,Monaco J.,Daniel T.,97,114.0,3.0,1.0,2
440,French Open,Grand Slam,Clay,1st Round,Berlocq C.,Lorenzi P.,126,54.0,3.0,0.0,1
441,French Open,Grand Slam,Clay,1st Round,Gulbis E.,Seppi A.,80,38.0,3.0,0.0,3
442,French Open,Grand Slam,Clay,2nd Round,Gulbis E.,Sousa J.,80,29.0,3.0,0.0,3
443,French Open,Grand Slam,Clay,3rd Round,Gulbis E.,Tsonga J.W.,80,7.0,0.0,0.0,3
444,French Open,Grand Slam,Clay,1st Round,Zverev A.,Herbert P.H.,41,84.0,3.0,1.0,5
445,French Open,Grand Slam,Clay,2nd Round,Zverev A.,Robert S.,41,90.0,3.0,1.0,5
446,Wimbledon,Grand Slam,Grass,1st Round,Zverev A.,Mathieu P.H.,28,59.0,3.0,0.0,5
447,Wimbledon,Grand Slam,Grass,2nd Round,Zverev A.,Youzhny M.,28,70.0,3.0,2.0,5
448,US Open,Grand Slam,Hard,1st Round,Zverev A.,Brands D.,28,153.0,3.0,1.0,5
449,Wimbledon,Grand Slam,Grass,1st Round,Stakhovsky S.,Nishioka Y.,94,122.0,3.0,0.0,2
450,US Open,Grand Slam,Hard,1st Round,Stakhovsky S.,Elias G.,92,60.0,3.0,2.0,2
451,Wimbledon,Grand Slam,Grass,1st Round,Lacko L.,Lorenzi P.,123,49.0,3.0,1.0,2
452,Wimbledon,Grand Slam,Grass,2nd Round,Lacko L.,Karlovic I.,123,32.0,3.0,1.0,2
453,Wimbledon,Grand Slam,Grass,1st Round,Istomin D.,Anderson K.,116,25.0,3.0,2.0,2
454,Wimbledon,Grand Slam,Grass,2nd Round,Istomin D.,Almagro N.,116,47.0,3.0,0.0,2
455,Wimbledon,Grand Slam,Grass,1st Round,Querrey S.,Rosol L.,41,73.0,3.0,2.0,4
456,Wimbledon,Grand Slam,Grass,2nd Round,Querrey S.,Bellucci T.,41,62.0,3.0,0.0,4
457,Wimbledon,Grand Slam,Grass,3rd Round,Querrey S.,Djokovic N.,41,1.0,3.0,1.0,4
458,Wimbledon,Grand Slam,Grass,4th Round,Querrey S.,Mahut N.,41,51.0,3.0,0.0,4
459,Wimbledon,Grand Slam,Grass,1st Round,Benneteau J.,Marchenko I.,547,84.0,3.0,0.0,1
460,Wimbledon,Grand Slam,Grass,1st Round,Roger-Vasselin E.,Gabashvili T.,186,103.0,3.0,1.0,1
461,Wimbledon,Grand Slam,Grass,1st Round,Willis M.,Berankis R.,772,54.0,3.0,0.0,1
462,Wimbledon,Grand Slam,Grass,1st Round,Haase R.,Schwartzman D.,98,71.0,3.0,2.0,1
463,Wimbledon,Grand Slam,Grass,1st Round,Evans D.,Struff J.L.,91,86.0,3.0,1.0,4
464,Wimbledon,Grand Slam,Grass,2nd Round,Evans D.,Dolgopolov O.,91,33.0,3.0,0.0,4
465,US Open,Grand Slam,Hard,1st Round,Evans D.,Ram R.,64,104.0,3.0,1.0,4
466,US Open,Grand Slam,Hard,2nd Round,Evans D.,Zverev A.,64,28.0,3.0,1.0,4
467,Wimbledon,Grand Slam,Grass,1st Round,Novikov D.,Saville L.,145,221.0,3.0,1.0,1
468,Wimbledon,Grand Slam,Grass,1st Round,Lu Y.H.,Kudryavtsev A.,76,179.0,3.0,0.0,1
469,Wimbledon,Grand Slam,Grass,1st Round,Becker B.,Bagnis F.,102,96.0,3.0,0.0,1
470,Wimbledon,Grand Slam,Grass,1st Round,Kukushkin M.,Klizan M.,57,48.0,3.0,0.0,1
471,Wimbledon,Grand Slam,Grass,1st Round,Del Potro J.M.,Robert S.,165,79.0,3.0,0.0,6
472,Wimbledon,Grand Slam,Grass,2nd Round,Del Potro J.M.,Wawrinka S.,165,5.0,3.0,1.0,6
473,US Open,Grand Slam,Hard,1st Round,Del Potro J.M.,Schwartzman D.,142,69.0,3.0,0.0,6
474,US Open,Grand Slam,Hard,2nd Round,Del Potro J.M.,Johnson S.,142,22.0,3.0,0.0,6
475,US Open,Grand Slam,Hard,3rd Round,Del Potro J.M.,Ferrer D.,142,13.0,3.0,0.0,6
476,US Open,Grand Slam,Hard,4th Round,Del Potro J.M.,Thiem D.,142,10.0,1.0,0.0,6
477,Wimbledon,Grand Slam,Grass,1st Round,Albot R.,Elias G.,110,92.0,3.0,1.0,1
478,Wimbledon,Grand Slam,Grass,1st Round,Barton M.,Olivetti A.,248,793.0,3.0,2.0,1
479,Wimbledon,Grand Slam,Grass,1st Round,Fognini F.,Delbonis F.,35,38.0,3.0,2.0,2
480,US Open,Grand Slam,Hard,1st Round,Fognini F.,Gabashvili T.,38,105.0,3.0,2.0,2
481,Wimbledon,Grand Slam,Grass,1st Round,Young D.,Mayer L.,69,90.0,3.0,1.0,2
482,US Open,Grand Slam,Hard,1st Round,Young D.,Struff J.L.,56,78.0,3.0,1.0,2
483,Wimbledon,Grand Slam,Grass,1st Round,Youzhny M.,Zeballos H.,70,83.0,3.0,1.0,3
484,US Open,Grand Slam,Hard,1st Round,Youzhny M.,Klizan M.,61,29.0,3.0,0.0,3
485,US Open,Grand Slam,Hard,2nd Round,Youzhny M.,Pella G.,61,51.0,3.0,0.0,3
486,US Open,Grand Slam,Hard,1st Round,Escobedo E.,Lacko L.,201,99.0,2.0,2.0,1
487,US Open,Grand Slam,Hard,1st Round,Satral J.,Mcdonald M.,226,406.0,3.0,2.0,1
488,US Open,Grand Slam,Hard,1st Round,Chiudinelli M.,Clezar G.,144,203.0,3.0,1.0,1
489,US Open,Grand Slam,Hard,1st Round,Pospisil V.,Kovalik J.,123,126.0,3.0,0.0,1
490,US Open,Grand Slam,Hard,1st Round,Anderson K.,Nishioka Y.,35,85.0,3.0,0.0,2
491,US Open,Grand Slam,Hard,2nd Round,Anderson K.,Pospisil V.,35,123.0,3.0,0.0,2
492,US Open,Grand Slam,Hard,1st Round,Zverev M.,Herbert P.H.,127,114.0,3.0,1.0,1
493,US Open,Grand Slam,Hard,1st Round,Harrison R.,Mannarino A.,120,54.0,3.0,0.0,2
494,US Open,Grand Slam,Hard,2nd Round,Harrison R.,Raonic M.,120,6.0,3.0,1.0,2
495,US Open,Grand Slam,Hard,1st Round,Duckworth J.,Haase R.,195,62.0,3.0,2.0,1
496,US Open,Grand Slam,Hard,1st Round,Khachanov K.,Fabbiano T.,95,111.0,3.0,1.0,1
497,US Open,Grand Slam,Hard,1st Round,Tipsarevic J.,Querrey S.,250,30.0,3.0,1.0,1
498,US Open,Grand Slam,Hard,1st Round,Giannessi A.,Kudla D.,243,128.0,3.0,2.0,1
499,US Open,Grand Slam,Hard,1st Round,Donaldson J.,Goffin D.,122,14.0,3.0,1.0,2
500,US Open,Grand Slam,Hard,2nd Round,Donaldson J.,Troicki V.,122,32.0,3.0,0.0,2
501,US Open,Grand Slam,Hard,1st Round,Zeballos H.,Mayer F.,71,58.0,3.0,0.0,1
502,US Open,Grand Slam,Hard,1st Round,Lorenzi P.,Berlocq C.,40,76.0,3.0,0.0,2
503,US Open,Grand Slam,Hard,2nd Round,Lorenzi P.,Simon G.,40,31.0,3.0,2.0,2
504,US Open,Grand Slam,Hard,1st Round,Berankis R.,Jaziri M.,89,68.0,3.0,1.0,1
505,US Open,Grand Slam,Hard,1st Round,Marchenko I.,Dodig I.,63,74.0,3.0,1.0,3
506,US Open,Grand Slam,Hard,2nd Round,Marchenko I.,Dzumhur D.,63,72.0,3.0,0.0,3
507,US Open,Grand Slam,Hard,3rd Round,Marchenko I.,Kyrgios N.,63,16.0,2.0,1.0,3
